"ntaxa"	"mntd.obs"	"mntd.rand.mean"	"mntd.rand.sd"	"mntd.obs.rank"	"mntd.obs.z"	"mntd.obs.p"	"runs"
"Callophrys rubi"	9	184.348068111111	223.975951500561	28.5666726081547	9	-1.38720683129675	0.09	99
"Calpodes ethlius"	4	89.4187375	243.491416378788	36.9104132493133	1	-4.17423337522926	0.01	99
"Caltoris cormasa"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Calycopis cecrops"	5	208.0243494	242.806750484848	34.849255941444	9	-0.998081598737493	0.09	99
"Calydna sturnula"	2	90.7909	275.443054878788	98.1525995274581	1	-1.88127625521657	0.01	99
"Candalides xanthospilos"	2	60.1216	253.071689707071	45.4180751389282	1	-4.24831059257489	0.01	99
"Caprona pillaana"	2	76.7222	272.277587767677	108.578161807021	1	-1.80105634975883	0.01	99
"Capronnieria galesus"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Capys alpheus"	2	92.1087	261.829209474747	72.3519647575708	1	-2.34576227533598	0.01	99
"Carcharodus alceae"	2	237.158012	276.443369969697	105.563499556412	21	-0.372149067952254	0.21	99
"Carcharodus lavatherae"	2	142	272.602493989899	90.670181558162	2	-1.44041284296008	0.02	99
"Caria ino"	2	271.51741	269.061042353535	86.8573708937222	81	0.0282804743131158	0.81	99
"Caria mantinea"	2	142.37061	276.649533787879	96.9106136164264	1	-1.38559564094142	0.01	99
"Carrhenes canescens"	2	76.7222	272.277587767677	108.578161807021	1	-1.80105634975883	0.01	99
"Carterocephalus palaemon"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Carystus phorcus"	2	99.1432	282.792666393939	112.934468295496	2	-1.62615956993232	0.02	99
"Cassionympha cassius"	2	187.64298	299.060452717172	140.187275456882	6	-0.794775933507896	0.06	99
"Castalius rosimon"	2	102.7964	259.821325282828	77.3320983613549	3	-2.03052714991759	0.03	99
"Catacroptera cloanthe"	2	174.33691	272.703965444444	89.1268845585433	1	-1.10367433947309	0.01	99
"Catapaecilma elegans"	2	237.157773	256.282738282828	46.1541055207316	19	-0.414371919183608	0.19	99
"Catapaecilma major"	8	192.65700275	225.626235479798	25.3382102307898	5	-1.30116659501607	0.05	99
"Catasticta nimbice"	2	159.8647	264.092912727273	85.4960109702146	4	-1.21910030122439	0.04	99
"Catochrysops strabo"	2	237.158162	270.230798141414	90.8024905269498	19	-0.364226090600437	0.19	99
"Catonephele numilia"	3	250.421731666667	247.019923835017	55.8741858378995	66	0.0608833539251747	0.66	99
"Catopsilia scylla"	2	192	271.815056828283	90.009529642657	4	-0.886740072358485	0.04	99
"Catopyrops ancyra"	5	185.9421504	245.357316969697	36.2034434778093	3	-1.64114683196131	0.03	99
"Celaenorrhinus aurivittata"	2	64.188	290.286765141414	116.824273417175	1	-1.93537488852187	0.01	99
"Celaenorrhinus leucocera"	2	69.4758	254.682101676768	45.778500090804	1	-4.04570489005541	0.01	99
"Celaenorrhinus patula"	2	69.4758	254.682101676768	45.778500090804	1	-4.04570489005541	0.01	99
"Celastrina argiolus"	9	192.396447777778	224.671690639731	25.5886938557486	10	-1.26130872657661	0.1	99
"Celotes nessus"	2	76.7222	272.277587767677	108.578161807021	1	-1.80105634975883	0.01	99
"Cephrenes augiades"	2	99.1432	282.792666393939	112.934468295496	2	-1.62615956993232	0.02	99
