PD	SR
Odina hieroglyphica	0	0
Odontoptilum angulata	325.050645	1
Oeneis norna	418.872232	2
Oenomaus ortygnus	325.05054	1
Oerane microthyrus	325.050282	1
Ogyris amaryllis	325.050922	1
Oileides azines	0	0
Oleria aquata	0	0
Oligoria maculata	0	0
Olyras crathis	325.050802	1
Onophas columbaria	0	0
Opoptera aorsa	0	0
Opsiphanes tamarindi	437.982852	3
Orachrysops niobe	325.050502	1
Oraidium barberae	325.050352	1
Oreisplanus munionga	325.050752	1
Oreixenica lathoniella	325.050732	1
Oressinoma typhla	0	0
Oriens gola	325.050732	1
Orinoma damaris	0	0
Orphe gerasa	0	0
