Lep_family,Lep_accepted_name,PD,Num.families,mpd.obs,mpd.obs.z,mntd.obs,mntd.obs.z,host.module
Hesperiidae,Parnara guttatus,418.872232,2,187.64298,-1.155152917,187.64298,-0.860297683,8
Hesperiidae,Parosmodes morantii,540.26846,3,222.531712,-0.650919543,207.9051427,-0.862656325,9
Hesperiidae,Pasma tasmanicus,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Passova gellias,325.050854,1,101.2678,-2.039729341,101.2678,-1.995775386,13
Hesperiidae,Passova passova,325.050854,1,101.2678,-2.039729341,101.2678,-1.995775386,13
Hesperiidae,Pellicia arina,325.050667,1,143.8503,-1.298538515,143.8503,-1.477383981,2
Hesperiidae,Pellicia dimidiata,325.050802,1,103.1855,-1.772676485,103.1855,-1.862092505,6
Hesperiidae,Pelopidas mathias,418.872232,2,187.64298,-1.155152917,187.64298,-0.860297683,8
Hesperiidae,Perichares lotus,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Phanus vitreus,325.050502,1,192,-0.773400109,192,-0.886740072,7
